iter	Passed	Remaining
142	372	2232
143	373	2222
144	375	2212
145	376	2202
146	377	2192
147	379	2183
148	380	2173
149	381	2164
150	383	2154
151	384	2145
152	385	2136
153	387	2126
154	388	2117
155	389	2109
156	391	2100
157	392	2092
158	393	2083
159	395	2075
160	396	2066
161	397	2058
162	399	2050
163	400	2042
164	401	2034
165	403	2025
166	404	2017
167	405	2010
168	407	2002
169	408	1994
170	409	1986
171	411	1979
172	412	1972
173	413	1964
174	415	1957
175	416	1950
176	417	1943
177	419	1935
178	420	1928
179	421	1921
180	423	1914
181	424	1907
182	425	1900
183	427	1895
184	429	1891
185	431	1886
186	433	1882
187	434	1876
188	435	1870
189	437	1864
190	438	1857
191	439	1851
192	441	1845
193	442	1838
194	443	1832
195	445	1826
196	446	1820
197	447	1813
198	449	1807
199	450	1801
200	451	1795
201	453	1789
202	454	1783
203	455	1778
204	457	1772
205	458	1766
206	459	1761
207	461	1756
208	462	1751
209	464	1745
210	465	1740
211	466	1734
212	468	1729
213	469	1723
214	470	1718
215	472	1713
216	473	1708
217	474	1703
218	476	1698
219	477	1693
220	478	1687
221	480	1682
222	481	1677
223	482	1672
224	484	1668
225	485	1662
226	486	1657
227	488	1652
228	489	1649
229	491	1644
230	492	1639
231	493	1634
232	495	1630
233	496	1625
234	497	1620
235	499	1615
236	500	1611
237	501	1606
238	503	1602
239	504	1598
240	505	1593
241	507	1588
242	508	1584
243	509	1579
244	511	1575
245	512	1570
246	513	1566
247	515	1561
248	516	1557
249	517	1553
250	519	1548
251	520	1544
252	521	1540
253	522	1535
254	524	1531
255	525	1527
256	526	1523
257	528	1519
258	529	1515
259	531	1511
260	532	1507
261	533	1503
262	535	1499
263	536	1495
264	537	1491
265	539	1487
266	540	1483
267	541	1479
268	542	1475
269	544	1472
270	545	1468
271	547	1464
272	548	1460
273	549	1456
274	551	1452
275	552	1449
276	553	1445
277	555	1441
278	556	1438
279	557	1434
280	559	1430
281	560	1427
282	561	1423
283	563	1419
284	564	1416
285	566	1413
286	567	1409
287	568	1405
288	570	1402
289	571	1399
290	572	1395
291	574	1392
292	575	1389
293	577	1385
294	578	1382
295	579	1378
296	581	1375
297	582	1371
298	583	1368
299	585	1365
300	586	1361
301	587	1358
302	589	1355
303	590	1352
304	591	1348
305	593	1345
306	594	1342
307	595	1338
308	597	1335
309	598	1332
310	600	1329
311	601	1327
312	603	1324
313	604	1321
314	606	1318
315	607	1314
316	608	1311
317	610	1308
318	611	1305
319	613	1302
320	614	1299
321	615	1296
322	617	1293
323	618	1290
324	619	1287
325	621	1284
326	622	1281
327	623	1278
328	625	1275
329	626	1272
330	628	1269
331	629	1266
332	630	1263
333	632	1260
334	633	1257
335	634	1254
336	636	1251
337	637	1248
338	638	1245
339	640	1242
340	641	1239
341	642	1237
342	644	1234
343	645	1231
344	647	1228
345	648	1225
346	649	1222
347	650	1219
348	652	1216
349	653	1213
350	655	1211
351	656	1208
352	657	1205
353	659	1202
354	660	1199
355	661	1197
356	663	1194
357	664	1191
358	665	1188
359	667	1186
360	668	1183
361	669	1180
362	671	1177
363	672	1175
364	673	1172
365	675	1169
366	676	1167
367	677	1164
368	679	1161
369	680	1159
370	682	1156
371	683	1153
372	684	1150
373	686	1148
374	687	1145
375	688	1142
376	690	1140
377	691	1137
378	692	1134
379	694	1132
380	695	1129
381	696	1127
382	698	1124
383	699	1122
384	700	1119
385	702	1117
386	703	1114
387	704	1111
388	706	1109
389	707	1106
390	708	1104
391	710	1101
392	711	1099
393	712	1096
394	714	1093
395	715	1091
396	716	1088
397	718	1086
398	719	1083
399	720	1081
400	722	1078
401	723	1076
402	724	1073
403	726	1071
404	727	1068
405	728	1066
406	730	1064
407	731	1061
408	732	1059
409	734	1056
410	735	1054
411	736	1051
412	738	1049
413	739	1046
414	740	1044
415	742	1042
416	743	1039
417	744	1037
418	746	1034
419	747	1032
420	748	1029
421	750	1027
422	751	1025
423	752	1022
424	754	1020
425	755	1018
426	756	1015
427	758	1013
428	759	1011
429	760	1008
430	762	1006
431	763	1004
432	764	1001
433	766	999
434	767	997
435	768	994
436	770	992
437	771	990
438	773	987
439	774	985
440	775	983
441	777	981
442	778	978
443	779	976
444	781	974
445	782	972
446	783	969
447	785	967
448	786	965
449	787	962
450	789	960
451	790	958
452	791	956
453	793	954
454	794	951
455	795	949
456	797	947
457	798	945
458	799	942
