iter	RMSE
249	4.514166684
250	4.510078044
251	4.508010304
252	4.506301192
253	4.500261648
254	4.498977526
255	4.495922381
256	4.491476736
257	4.489771281
258	4.485711641
259	4.482031761
260	4.478851061
261	4.474133557
262	4.469386596
263	4.466811971
264	4.464959322
265	4.461335377
266	4.45789889
267	4.454610884
268	4.452449793
269	4.450663375
270	4.447198112
271	4.446919615
272	4.443609912
273	4.441151262
274	4.438453302
275	4.435226288
276	4.432045389
277	4.430555431
278	4.429195291
279	4.42769098
280	4.419006416
281	4.415199627
282	4.409722966
283	4.408329709
284	4.406674651
285	4.404043914
286	4.39595466
287	4.391449946
288	4.383926682
289	4.380255967
290	4.374985021
291	4.370598358
292	4.367683943
293	4.363657094
294	4.358971316
295	4.353874049
296	4.350108104
297	4.34723623
298	4.342019581
299	4.339096171
300	4.337679881
301	4.332200204
302	4.32875999
303	4.321506602
304	4.321372839
305	4.314331312
306	4.308948518
307	4.30522511
308	4.300488518
309	4.299135098
310	4.29309048
311	4.287459238
312	4.282718978
313	4.276366007
314	4.275163697
315	4.274605171
316	4.27171859
317	4.267365909
318	4.263907397
319	4.260271796
320	4.256024098
321	4.254769301
322	4.24851578
323	4.245301756
324	4.243810389
325	4.239049998
326	4.237842486
327	4.234740968
328	4.231590401
329	4.227383058
330	4.221267999
331	4.217687595
332	4.217278425
333	4.21395777
334	4.209187484
335	4.204582483
336	4.203554269
337	4.197105477
338	4.194490158
339	4.190119211
340	4.188746858
341	4.186130494
342	4.181756832
343	4.178568051
344	4.174061238
345	4.168621049
346	4.165006756
347	4.164255619
348	4.162281676
349	4.161796102
350	4.155139992
351	4.15005244
352	4.146769942
353	4.145632721
354	4.144482211
355	4.140157698
356	4.135084457
357	4.129495827
358	4.124431792
359	4.119668564
360	4.115694541
361	4.109055165
362	4.108542754
363	4.108066069
364	4.105717583
365	4.099580627
366	4.095128946
367	4.09382193
368	4.092659576
369	4.089418448
370	4.086350633
371	4.083429965
372	4.082834061
373	4.077788858
374	4.074819349
375	4.074335666
376	4.07097299
377	4.067686214
378	4.066843062
379	4.063197381
380	4.060082947
381	4.055135591
382	4.050681159
383	4.047701004
384	4.043450332
385	4.041644712
386	4.039136945
387	4.036590423
388	4.033907669
389	4.03147081
390	4.028234039
391	4.026400316
392	4.02185726
393	4.018531035
394	4.015940637
395	4.014948824
396	4.012046865
397	4.009055093
398	4.005967914
399	4.005001449
400	4.001921478
401	3.999459513
402	3.998694161
403	3.995905804
404	3.993038916
405	3.988177152
406	3.985983302
407	3.981023556
408	3.978840781
409	3.97651906
410	3.973536421
411	3.972990788
412	3.970136497
413	3.966511618
414	3.963007649
415	3.961033047
416	3.959162724
417	3.958796085
418	3.955542172
419	3.950301525
420	3.946506969
421	3.94281817
422	3.940651969
423	3.93660897
424	3.93313253
425	3.928996618
426	3.925117372
427	3.920599974
428	3.917171053
429	3.914743297
430	3.912437
431	3.910222042
432	3.907013182
433	3.906537101
434	3.903134454
435	3.899585508
436	3.897106867
437	3.892733047
438	3.891461054
439	3.890752156
440	3.888325468
441	3.886245304
442	3.882537009
443	3.878748343
444	3.874891191
445	3.871740114
446	3.871180589
447	3.865249895
448	3.862278007
449	3.860035474
450	3.857771748
451	3.857031284
452	3.852676989
453	3.847335902
454	3.843214098
455	3.838252635
456	3.837811369
457	3.833588312
458	3.829673166
459	3.825181596
460	3.821861759
461	3.817464181
462	3.815517891
463	3.813448836
464	3.809345749
465	3.807384005
466	3.802055565
467	3.799608056
468	3.797372329
469	3.796796327
470	3.796194031
471	3.792502463
472	3.789168153
473	3.78719883
474	3.785088969
475	3.78325126
476	3.779987285
477	3.7794862
478	3.77554256
479	3.772695324
480	3.772014347
481	3.768210082
482	3.765020856
483	3.763786013
484	3.759536651
485	3.757460718
486	3.757089318
487	3.755977206
488	3.753842159
489	3.750681132
490	3.748877686
491	3.748571632
492	3.747867008
493	3.745636263
494	3.742154004
495	3.737962441
496	3.734844703
497	3.734217973
498	3.73328551
499	3.730416868
500	3.728011511
501	3.72397565
502	3.719051585
503	3.716053842
504	3.714002725
505	3.711620457
506	3.707189526
507	3.705463113
508	3.703635325
509	3.700866576
510	3.697230636
511	3.693269317
512	3.691363006
513	3.687790426
514	3.686255675
515	3.682413153
516	3.682300609
517	3.680929475
518	3.678804967
519	3.67816698
520	3.677166315
521	3.674809653
522	3.672635525
523	3.670227697
524	3.668057399
525	3.665891919
526	3.664436591
527	3.660612123
528	3.658049442
529	3.652123515
530	3.647610464
531	3.645473094
532	3.644783041
533	3.640546396
534	3.638094936
535	3.633246645
536	3.629651395
537	3.626778621
538	3.623955843
539	3.621608166
540	3.621412332
541	3.621034996
542	3.619785551
543	3.618336566
544	3.613531102
545	3.611972734
546	3.609113269
547	3.607813861
548	3.607280537
549	3.606227542
550	3.6023397
551	3.602071767
552	3.600312762
553	3.598931937
554	3.596365685
555	3.59319436
556	3.590792191
557	3.590620579
558	3.587123291
559	3.585109461
560	3.58256677
561	3.579220657
562	3.575662522
563	3.572972974
564	3.569068545
565	3.566502428
566	3.56498509
567	3.562073804
568	3.560647824
569	3.556461159
570	3.551410842
571	3.551169695
572	3.549382331
573	3.547119085
574	3.545129748
575	3.54138036
576	3.538159315
577	3.537994442
578	3.537486428
579	3.535910204
580	3.532891628
581	3.528687468
582	3.527379393
583	3.525345921
584	3.521941701
585	3.520116066
586	3.51932417
587	3.517233577
588	3.514653786
589	3.513185686
590	3.510819061
591	3.507009357
592	3.505116719
593	3.501884228
594	3.49836982
595	3.49674329
596	3.494072448
597	3.490121327
598	3.489547091
599	3.488748544
600	3.488454585
601	3.488060515
602	3.485939682
603	3.48567974
604	3.485556263
605	3.484319224
606	3.481805558
607	3.479866569
608	3.478090503
609	3.474962757
610	3.47304688
611	3.470343948
612	3.46767059
613	3.46436334
614	3.461831703
615	3.457833122
616	3.457249432
617	3.456996397
618	3.455490548
619	3.453520085
620	3.451185644
621	3.450838912
622	3.449782011
623	3.445808852
624	3.443951026
625	3.441246722
626	3.437461074
627	3.43511772
628	3.43380696
629	3.432068568
630	3.430076987
631	3.426749383
632	3.425033497
633	3.42228485
634	3.418415153
635	3.417611658
636	3.414097929
637	3.412688139
638	3.411627646
639	3.410280179
640	3.408373853
641	3.406141899
642	3.405855233
643	3.402313752
644	3.399309344
645	3.394902691
646	3.393821648
647	3.391963936
648	3.390002239
649	3.389446337
650	3.387962708
651	3.386123209
652	3.384239989
653	3.382657344
654	3.382315798
655	3.378994472
656	3.377527391
657	3.377080448
658	3.373916976
659	3.372909902
660	3.371596614
661	3.370486597
662	3.369128547
663	3.366241814
664	3.364208397
665	3.362767335
666	3.359003453
667	3.358291194
668	3.35685363
669	3.355162088
670	3.351479196
671	3.34925881
672	3.347404274
673	3.3459279
674	3.345307418
675	3.341721082
676	3.338247396
677	3.337683067
678	3.33492343
679	3.33419165
680	3.333888174
681	3.330890443
682	3.329984047
683	3.325734743
684	3.323048221
685	3.322670132
686	3.319249014
687	3.316833875
688	3.315236667
689	3.312919587
690	3.312610963
691	3.310271561
692	3.309310321
693	3.308453947
694	3.306312671
695	3.306241437
696	3.303934703
697	3.302743153
698	3.30126809
699	3.298338895
700	3.294267114
701	3.29147367
702	3.29108465
703	3.29060584
704	3.286436447
705	3.285681108
706	3.283267823
707	3.283052523
708	3.278585198
709	3.277083456
710	3.273952806
711	3.271911267
712	3.271473849
713	3.269823849
714	3.268457623
715	3.267142841
716	3.265449596
717	3.264885919
718	3.262373634
719	3.260200171
720	3.25731793
721	3.25631391
722	3.254366847
723	3.254272535
724	3.251266607
725	3.251045464
726	3.250063429
727	3.247496896
728	3.245455879
729	3.243888967
730	3.241854184
731	3.239499765
732	3.237573217
733	3.235927613
734	3.234356646
735	3.233255971
736	3.231466024
737	3.230010918
738	3.226960716
739	3.225515601
740	3.224498117
741	3.221750258
742	3.219492793
743	3.216631581
744	3.214763948
745	3.211584905
746	3.209878015
747	3.206514081
748	3.205401155
749	3.204337721
750	3.200881525
751	3.199589134
752	3.197690847
753	3.197138112
754	3.195298032
755	3.195242385
756	3.193886527
757	3.192834483
758	3.192706915
759	3.191118752
760	3.188846528
761	3.185563762
762	3.184039589
763	3.182631759
764	3.181330824
765	3.18095658
766	3.179096865
767	3.17862257
768	3.175759144
769	3.17407248
770	3.17294187
771	3.172716025
772	3.169467253
773	3.167608087
774	3.165338129
775	3.163379884
776	3.163341461
777	3.162950412
778	3.160769991
779	3.158855829
780	3.156998794
781	3.154763327
782	3.153515647
783	3.152468361
784	3.152386653
785	3.151557111
786	3.14753643
787	3.147151088
788	3.145617033
789	3.143624246
790	3.141472069
791	3.140716575
792	3.139422635
793	3.138598429
794	3.13703615
795	3.135702031
796	3.133520695
797	3.132472571
798	3.130884239
799	3.128964978
800	3.12738544
801	3.125028378
802	3.124009351
803	3.123729406
804	3.120880971
805	3.120279569
806	3.117858039
807	3.117298048
808	3.115863208
809	3.113445303
810	3.112567234
811	3.111212742
812	3.108627577
813	3.106159184
814	3.102343415
815	3.101679471
816	3.098893663
817	3.097291067
818	3.094320255
819	3.094014673
820	3.093069606
821	3.09227625
822	3.089620499
823	3.087727565
824	3.086087415
825	3.084912213
826	3.082301816
827	3.081246278
828	3.080242643
829	3.077418555
830	3.07488253
831	3.071160717
832	3.068871386
833	3.067524846
834	3.065841032
835	3.065120807
836	3.063461524
837	3.059886151
838	3.057837708
839	3.056457315
840	3.054528988
841	3.051294471
842	3.050413146
843	3.048162457
844	3.047346644
845	3.046657158
846	3.046136152
847	3.044848777
848	3.043553576
849	3.042998997
850	3.041321288
851	3.040559723
852	3.039249173
853	3.036872599
854	3.034648629
855	3.031308152
856	3.029176913
857	3.028226346
858	3.02552113
859	3.024387456
860	3.024126065
861	3.023540793
862	3.022964435
863	3.021454097
864	3.018542368
865	3.017495762
866	3.015021888
867	3.011223882
868	3.010919743
869	3.009262202
870	3.005969517
871	3.003392486
872	3.000601212
873	2.999209154
874	2.997667318
875	2.995946015
876	2.992707275
877	2.991071947
878	2.989809729
879	2.988862649
880	2.985438884
881	2.985354639
882	2.985151346
883	2.98373153
884	2.983293732
885	2.982627441
886	2.981563651
887	2.981070757
888	2.97985056
889	2.978267392
890	2.977731888
891	2.974915065
892	2.973674441
893	2.972766383
894	2.972530716
895	2.969352357
896	2.966870046
897	2.966431782
898	2.965912542
899	2.961576978
900	2.958805504
901	2.957586582
902	2.957459386
903	2.957061961
904	2.954483637
905	2.953477403
906	2.953256775
907	2.952409286
908	2.94909003
909	2.948330605
910	2.946808827
911	2.945833216
912	2.944631898
913	2.943714543
914	2.942767508
915	2.941609018
916	2.939899288
917	2.939522444
918	2.939066617
919	2.938429222
920	2.937850667
921	2.935360319
922	2.933993032
923	2.933192587
924	2.933161639
925	2.931120204
926	2.930526369
927	2.929787481
928	2.928171498
929	2.927578903
930	2.926012269
931	2.925682684
932	2.924223968
933	2.922313905
934	2.922162477
935	2.918945561
936	2.918264853
937	2.917441387
938	2.917107855
939	2.916998609
940	2.915047019
941	2.91225135
942	2.910164805
943	2.909194782
944	2.907725179
945	2.906167649
946	2.9049657
947	2.904115066
948	2.903510783
949	2.900957745
950	2.899381745
951	2.899222612
952	2.897259359
953	2.895986455
954	2.894296919
955	2.892698181
956	2.892221772
957	2.888871532
958	2.8875517
959	2.887335331
960	2.886421986
961	2.884252444
962	2.884219251
963	2.883993323
964	2.883844672
965	2.88248353
966	2.880856657
967	2.880385652
968	2.877238511
969	2.876463857
970	2.87564465
971	2.87390301
972	2.872851718
973	2.871262802
974	2.871200901
975	2.870284277
976	2.86900424
977	2.866804723
978	2.865748722
979	2.864561241
980	2.863532533
981	2.863044099
982	2.862793456
983	2.862236294
984	2.861734761
985	2.861607597
986	2.860882298
987	2.859668866
988	2.858134633
989	2.855708073
990	2.855533826
991	2.853764163
992	2.853447112
993	2.852532784
994	2.849980022
995	2.848075066
996	2.845092031
997	2.84386378
998	2.843454123
999	2.842073931
